F_HQ_BE;F_HQ_E;F_HQ;F_MQ_E;F_MQ;F_BQ
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
null;null;null;null;null;null
