NUM;VENDEUR;ACHETEUR;PRODUIT;QUANTITE;PRIX
2;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
2;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
2;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
2;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
2;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
2;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
2;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
2;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
2;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
2;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
2;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
2;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
2;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
2;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
2;EQ5;EQ8;C_BQ_Chocoflow;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
3;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_ChocoSharks;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_ChocoSharks;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_BE_Mirage;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_Mirage;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_BE_Villors;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_BE_Ecacaodor;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_BE_Chocoflow;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
3;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
3;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
3;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
3;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
3;EQ5;EQ8;C_BQ_Chocoflow;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
4;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_ChocoSharks;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_ChocoSharks;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_BE_Mirage;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_Mirage;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_BE_Villors;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_BE_Ecacaodor;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_BE_Chocoflow;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
4;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
4;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
4;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
4;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
4;EQ5;EQ8;C_BQ_Chocoflow;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
5;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_ChocoSharks;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_ChocoSharks;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_BE_Mirage;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_Mirage;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_BE_Villors;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_BE_Ecacaodor;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_BE_Chocoflow;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
5;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
5;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
5;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
5;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
5;EQ5;EQ8;C_BQ_Chocoflow;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
6;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_ChocoSharks;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_ChocoSharks;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_BE_Mirage;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_Mirage;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_BE_Villors;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_BE_Ecacaodor;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_BE_Chocoflow;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
6;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
6;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
6;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
6;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
6;EQ5;EQ8;C_BQ_Chocoflow;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
7;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_ChocoSharks;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_ChocoSharks;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_BE_Mirage;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_Mirage;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_BE_Villors;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_BE_Ecacaodor;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_BE_Chocoflow;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
7;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
7;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
7;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
7;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
7;EQ5;EQ8;C_BQ_Chocoflow;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
8;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_ChocoSharks;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_ChocoSharks;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_BE_Mirage;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_Mirage;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_BE_Villors;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_BE_Ecacaodor;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_BE_Chocoflow;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
8;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
8;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
8;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
8;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
